grafo,best,conv,avg,worst,time,procs,conf,npops,deviation
morady/TG9,21,100,21,21,0.032,4,6,1,0.00%
morady/TG10,83,100,83,83,0.033,4,6,1,0.00%
morady/TG11,20,100,20,20,0.034,4,6,1,0.00%
morady/TG12,27,81,27.76,31,0.034,4,6,1,2.81%
morady/TG14,35,31,36.61,39,0.035,4,6,1,4.60%
morady/TG17,37,74,37.26,38,0.041,4,6,1,0.70%
morady/TG18,440,35,462.8,490,0.04,4,6,1,5.18%
morady/TGG9,16,100,16,16,0.043,4,6,1,0.00%
morady/TGG11,49,100,49,49,0.038,4,6,1,0.00%
morady/TGGG11,12,100,12,12,0.034,4,6,1,0.00%
gauss/gauss27,67,2,71.07,80,0.048,4,6,1,6.07%
gauss/gauss35,91,1,96.45,102,0.06,4,6,1,5.99%
gauss/gauss44,116,1,124.37,132,0.067,4,6,1,7.22%
gauss/gauss65,176,0,186.92,201,0.084,4,6,1,8.05%
laplace/laplace9,520,100,520,520,0.032,4,6,1,0.00%
laplace/laplace16,760,96,760.8,790,0.039,4,6,1,0.11%
laplace/laplace25,1000,3,1043.4,1100,0.047,4,6,1,4.34%
laplace/laplace36,1300,0,1352.3,1420,0.06,4,6,1,7.33%
fft/fft15,560,98,560.4,580,0.038,4,6,1,0.07%
fft/fft39,840,0,877.8,940,0.061,4,6,1,7.05%
fft/fft95,1620,0,1674.8,1760,0.102,4,6,1,4.67%
fft/fft223,3580,0,3666.2,3760,0.214,4,6,1,4.15%
random/random30,751,35,772.08,828,0.058,4,6,1,2.81%
random/random40,555,0,578.77,630,0.071,4,6,1,5.23%
random/random50,496,4,518.72,548,0.065,4,6,1,4.58%
morady/TG9,21,100,21,21,0.017,4,6,2,0.00%
morady/TG10,83,100,83,83,0.017,4,6,2,0.00%
morady/TG11,20,100,20,20,0.018,4,6,2,0.00%
morady/TG12,27,80,27.8,31,0.018,4,6,2,2.96%
morady/TG14,35,39,36.36,38,0.018,4,6,2,3.89%
morady/TG17,37,75,37.25,38,0.021,4,6,2,0.68%
morady/TG18,440,35,462.9,490,0.021,4,6,2,5.20%
morady/TGG9,16,100,16,16,0.017,4,6,2,0.00%
morady/TGG11,49,100,49,49,0.018,4,6,2,0.00%
morady/TGGG11,12,100,12,12,0.018,4,6,2,0.00%
gauss/gauss27,67,1,71.6,78,0.026,4,6,2,6.87%
gauss/gauss35,91,1,96.06,103,0.032,4,6,2,5.56%
gauss/gauss44,118,0,123.67,134,0.036,4,6,2,6.61%
gauss/gauss65,176,0,186.8,198,0.047,4,6,2,7.98%
